cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
2193.0,2.302585092994046,11.002099841204238,1.3862943611198906,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
376.0,2.0794415416798357,10.21464198117305,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
128.0,1.791759469228055,8.268731832117737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,1.791759469228055,8.779557455883728,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
506.0,1.9459101490553132,9.735068900911164,1.6094379124341003,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
987.0,2.302585092994046,9.735068900911164,1.6094379124341003,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
460.0,1.791759469228055,10.21464198117305,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
230.0,1.791759469228055,8.268731832117737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,1.6094379124341003,8.268731832117737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
345.0,1.791759469228055,8.268731832117737,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374.0,2.0794415416798357,9.041921720351219,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
276.0,1.9459101490553132,9.735068900911164,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
272.0,1.791759469228055,9.185022563991893,1.3862943611198906,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
456.0,1.9459101490553132,9.735068900911164,1.3862943611198906,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
377.0,1.6094379124341003,9.041921720351219,0.6931471805599453,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
443.0,1.9459101490553132,11.002099841204238,1.0986122886681096,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
280.0,1.6094379124341003,10.305613759378778,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
297.0,1.791759469228055,10.114558522616068,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
377.0,1.9459101490553132,10.21464198117305,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
469.0,2.1972245773362196,9.878169744551839,1.0986122886681096,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
306.0,1.9459101490553132,10.42821608147111,1.0986122886681096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
379.0,2.302585092994046,9.185022563991893,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
177.0,2.0794415416798357,9.568014816247999,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623.0,2.302585092994046,10.571316925111784,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
492.0,1.791759469228055,10.42821608147111,1.3862943611198906,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
385.0,1.791759469228055,9.735068900911164,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
443.0,2.0794415416798357,10.21464198117305,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
557.0,1.9459101490553132,10.571316925111784,0.6931471805599453,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
156.0,1.791759469228055,10.114558522616068,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
183.0,1.791759469228055,8.268731832117737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53.0,1.791759469228055,8.268731832117737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
240.0,2.0794415416798357,9.041921720351219,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
349.0,1.6094379124341003,10.21464198117305,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563.0,2.302585092994046,11.002099841204238,1.791759469228055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
671.0,2.302585092994046,10.571316925111784,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
267.0,1.791759469228055,10.571316925111784,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
327.0,1.9459101490553132,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
337.0,1.791759469228055,9.041921720351219,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
413.0,1.791759469228055,9.185022563991893,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
410.0,1.9459101490553132,9.185022563991893,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
456.0,2.0794415416798357,10.696480068065789,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
565.0,2.0794415416798357,8.779557455883728,1.0986122886681096,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
472.0,1.791759469228055,8.779557455883728,1.0986122886681096,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,1.791759469228055,10.114558522616068,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
433.0,1.3862943611198906,9.041921720351219,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
197.0,1.6094379124341003,9.367344120785848,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
187.0,1.791759469228055,9.185022563991893,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
399.0,1.791759469228055,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
174.0,1.9459101490553132,9.878169744551839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
370.0,1.791759469228055,10.114558522616068,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
450.0,2.0794415416798357,11.002099841204238,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
221.0,1.9459101490553132,10.696480068065789,1.0986122886681096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469.0,1.6094379124341003,9.367344120785848,1.0986122886681096,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
538.0,1.791759469228055,10.114558522616068,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
418.0,1.9459101490553132,11.002099841204238,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
502.0,1.791759469228055,10.696480068065789,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
565.0,1.791759469228055,9.878169744551839,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
169.0,1.9459101490553132,8.268731832117737,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
181.0,1.9459101490553132,10.807705703176014,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
104.0,1.3862943611198906,9.041921720351219,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
435.0,1.3862943611198906,10.305613759378778,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
786.0,1.791759469228055,10.21464198117305,1.3862943611198906,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
794.0,2.302585092994046,10.21464198117305,1.6094379124341003,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
225.0,1.791759469228055,10.21464198117305,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
519.0,2.302585092994046,10.42821608147111,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
453.0,1.6094379124341003,9.041921720351219,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
322.0,1.9459101490553132,8.268731832117737,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
427.0,2.302585092994046,10.21464198117305,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
79.0,1.6094379124341003,8.779557455883728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
718.0,1.9459101490553132,8.779557455883728,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
104.0,1.6094379124341003,8.268731832117737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
342.0,1.9459101490553132,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
318.0,1.9459101490553132,10.571316925111784,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
960.0,2.302585092994046,10.21464198117305,1.3862943611198906,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
419.0,1.791759469228055,9.568014816247999,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
175.0,1.791759469228055,8.779557455883728,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,1.791759469228055,9.185022563991893,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
252.0,2.0794415416798357,10.305613759378778,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82.0,1.6094379124341003,8.779557455883728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,1.9459101490553132,8.779557455883728,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
776.0,2.302585092994046,9.878169744551839,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
202.0,1.6094379124341003,8.268731832117737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,1.791759469228055,9.185022563991893,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
247.0,1.6094379124341003,9.568014816247999,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
457.0,2.0794415416798357,10.571316925111784,1.0986122886681096,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
294.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
396.0,1.9459101490553132,10.305613759378778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
370.0,2.1972245773362196,9.568014816247999,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
314.0,2.0794415416798357,9.367344120785848,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,1.6094379124341003,9.568014816247999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708.0,2.302585092994046,11.002099841204238,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
